job,key,calc_id,sources,gmm,trunc,site_params,n_realizations
c_if_tapered,8d78a8ac,175,"{""if-mmin55-full__seis__tapered"": ""mmin_haz-5.5""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",3.0,{},3
c_if_tr20,8e0eed6f,181,"{""if-mmin55-full__seis__tgr"": ""mmin_haz-5.5""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",2.0,{},3
c_if_tr25,50c8d509,182,"{""if-mmin55-full__seis__tgr"": ""mmin_haz-5.5""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",2.5,{},3
c_if_tr40,9507b72b,183,"{""if-mmin55-full__seis__tgr"": ""mmin_haz-5.5""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",4.0,{},3
c_if_tree,8be8c01a,176,"{""if-mmin55-seg__seis__tgr"": ""mmin_haz-5.5"", ""if-mmin55-seg__seis__tapered"": ""mmin_haz-5.5"", ""if-mmin55-seg__geo_lo__tgr"": ""mmin_haz-5.5"", ""if-mmin55-seg__geo_lo__tapered"": ""mmin_haz-5.5"", ""if-mmin55-seg__geo_mid__tgr"": ""mmin_haz-5.5"", ""if-mmin55-seg__geo_mid__tapered"": ""mmin_haz-5.5"", ""if-mmin55-seg__geo_hi__tgr"": ""mmin_haz-5.5"", ""if-mmin55-seg__geo_hi__tapered"": ""mmin_haz-5.5"", ""if-mmin55-full__seis__tgr"": ""mmin_haz-5.5"", ""if-mmin55-full__seis__tapered"": ""mmin_haz-5.5"", ""if-mmin55-full__geo_lo__tgr"": ""mmin_haz-5.5"", ""if-mmin55-full__geo_lo__tapered"": ""mmin_haz-5.5"", ""if-mmin55-full__geo_mid__tgr"": ""mmin_haz-5.5"", ""if-mmin55-full__geo_mid__tapered"": ""mmin_haz-5.5"", ""if-mmin55-full__geo_hi__tgr"": ""mmin_haz-5.5"", ""if-mmin55-full__geo_hi__tapered"": ""mmin_haz-5.5""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",3.0,{},48
c_if_zbot40,7500eda0,164,"{""if-c_zbot40-full__seis__tgr"": ""mmin_haz-5.5_z_bottom-40.0""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",3.0,{},3
c_if_zbot60,f52afbc3,165,"{""if-c_zbot60-full__seis__tgr"": ""mmin_haz-5.5_z_bottom-60.0""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",3.0,{},3
c_if_ztop10,60792bbd,166,"{""if-c_ztop10-full__seis__tgr"": ""mmin_haz-5.5_z_top-10.0""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",3.0,{},3
c_is_asp20,f63a731d,240,"{""is-asp20-is"": ""aspect-2.0""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_band_rule,06ab1568,195,"{""is-band_rule-is"": ""band-rule_hypo-offset""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_classmask,94579668,185,"{""is-classmask-is"": ""mask_by_class-intra_slabNone50.0slab_deep50.0None""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_cls_fix,65555b12,252,"{""is-cls_fix-is"": ""cat_variant-fixdep_if""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_cls_m5,46eff219,245,"{""is-cls_m5-is"": ""cat_variant-tol_m5""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
c_is_cls_p5,e9bfa876,246,"{""is-cls_p5-is"": ""cat_variant-tol_p5""}","{""Subduction IntraSlab"": [""AbrahamsonGulerce2020SSlab"", ""ParkerEtAl2020SSlab"", ""MontalvaEtAl2017SSlab""]}",3.0,{},3
