site,imt,return_period,iml_total,Interface,Intraslab,Crustal,sum,split,intra_slab,slab_deep,deep_nest
iquique,PGA,475,1.1466064340664857,40.37118671594438,57.8095521807636,1.800355962696,99.981094859404,gmm_slab_ag,,,
iquique,PGA,2475,2.1513319907774027,41.694082891806126,57.765761676941466,0.5055492195227606,99.96539378827036,gmm_slab_ag,,,
pucon,PGA,475,0.54353950481477,33.89396234403553,32.70222945384524,33.30378636505028,99.89997816293106,gmm_slab_ag,,,
pucon,PGA,2475,0.9769759768724202,37.015852666755954,44.1878249986487,18.703226494826495,99.90690416023115,gmm_slab_ag,,,
puerto_aysen,PGA,475,0.4804708704072488,4.768886254323921,0.38607541376185206,94.8394713775055,99.99443304559128,gmm_slab_ag,,,
puerto_aysen,PGA,2475,0.8680501813323138,3.649949860422867,0.4739286509857143,95.86968067636465,99.99355918777323,gmm_slab_ag,,,
puerto_montt,PGA,475,0.6191625935836728,81.79685781868845,14.923086725523463,3.2535892871801164,99.97353383139203,gmm_slab_ag,,,
puerto_montt,PGA,2475,1.2997087248166077,83.92591296797781,15.240971210937662,0.8146174848195772,99.98150166373505,gmm_slab_ag,,,
santiago_centro,PGA,475,0.8673729974800143,42.15322540953086,55.826262920160175,1.9662715773121853,99.94575990700322,gmm_slab_ag,,,
santiago_centro,PGA,2475,1.6498568072011035,40.73533647201962,58.864572576214016,0.3655760795568934,99.96548512779052,gmm_slab_ag,,,
santiago_penalolen,PGA,475,0.8056360654257443,35.88682134989158,59.44131192069523,4.666166267649654,99.99429953823646,gmm_slab_ag,,,
santiago_penalolen,PGA,2475,1.5197931944234373,33.3441388143956,64.48361168142796,2.1589481793453746,99.98669867516892,gmm_slab_ag,,,
valparaiso,PGA,475,1.3902120697758984,60.53095853009609,39.28421314462517,0.1524675120043118,99.96763918672556,gmm_slab_ag,,,
valparaiso,PGA,2475,2.6260987405578313,64.70798271085954,35.281411482885915,0.00543781849041494,99.99483201223588,gmm_slab_ag,,,
antofagasta,PGA,475,1.5734649213915035,47.10243570751649,52.860086797723405,0.037073679516380915,99.99959618475627,gmm_slab_pk,,,
concepcion,PGA,475,1.6041658895397886,41.24114141988682,58.65896455245706,0.0963013924447234,99.99640736478861,gmm_slab_pk,,,
copiapo,PGA,475,1.226684736948599,43.52184358262517,56.131518415277895,0.34398694555826625,99.99734894346133,gmm_slab_pk,,,
copiapo,PGA,2475,2.355772331399996,40.74767956790092,59.21269290129496,0.031850323085541456,99.99222279228141,gmm_slab_pk,,,
iquique,PGA,475,1.4404282798013555,23.739180194740417,75.50096360759959,0.7442139720516223,99.98435777439163,gmm_slab_pk,,,
iquique,PGA,2475,2.7364556486785117,19.325138950472677,80.53739673695684,0.0782255523201301,99.94076123974965,gmm_slab_pk,,,
pucon,PGA,475,0.5817272266302563,28.87901643668675,44.251354719022174,26.73933108659839,99.86970224230731,gmm_slab_pk,,,
pucon,PGA,2475,1.0550579737326689,28.831837545716173,58.111094868887434,12.730337867178875,99.67327028178248,gmm_slab_pk,,,
puerto_aysen,PGA,475,0.48092850314192886,4.756526212340661,0.5992566404089538,94.63871030593604,99.99449315868566,gmm_slab_pk,,,
puerto_aysen,PGA,2475,0.8686811726154526,3.6396928274491023,0.7184396317450333,95.63481443522332,99.99294689441746,gmm_slab_pk,,,
puerto_montt,PGA,475,0.6576146199248456,73.21404450012999,24.12835524404163,2.6402918131135142,99.98269155728514,gmm_slab_pk,,,
puerto_montt,PGA,2475,1.3727167520374353,72.39048749577837,26.95361949996764,0.6189524550476205,99.96305945079364,gmm_slab_pk,,,
