site,imt,return_period,family,axis,row,iml_ref,iml,rel_pct
iquique,PGA,2475,interface,Z_TOP 10 km,ztop10,2.2677983639172306,2.3021198670646754,1.513428340611389
iquique,PGA,2475,interface,declustering,dc_gk74sym,2.2677983639172306,2.291473258204549,1.043959404151984
iquique,PGA,2475,interface,declustering,dc_gruenthal,2.2677983639172306,2.2771992840777755,0.41453950713266075
iquique,PGA,2475,interface,no declustering (full catalog),raw,2.2677983639172306,2.1331575242203993,-5.937072794437615
iquique,PGA,2475,interface,classification tolerance -5 / +5 km,cls_m5,2.2677983639172306,2.267937070120831,0.006116337581296705
iquique,PGA,2475,interface,classification tolerance -5 / +5 km,cls_p5,2.2677983639172306,2.281098560122738,0.5864805450575217
iquique,PGA,2475,interface,default-depth events to interface,cls_fix,2.2677983639172306,2.2655755278434366,-0.0980173594425926
iquique,PGA,2475,interface,"completeness table, ends of the ensemble",mc_lo,2.2677983639172306,2.222094914566812,-2.0153224412541637
iquique,PGA,2475,interface,"completeness table, ends of the ensemble",mc_hi,2.2677983639172306,2.288790794022911,0.9256744532357697
iquique,PGA,2475,interface,keep 1962 / 1998 events,keep6298,2.2677983639172306,2.2764386967651395,0.3810009295969419
iquique,PGA,2475,interface,b: fit floor 5.4 / 6.0,fit54,2.2677983639172306,2.199287143023923,-3.0210455207740017
iquique,PGA,2475,interface,b: fit floor 5.4 / 6.0,fit60,2.2677983639172306,2.3127490608385965,1.9821293478544222
iquique,PGA,2475,interface,MMIN_HAZ 6.5,mmin65,2.2677983639172306,2.2688463957300278,0.046213624168367495
iquique,PGA,2475,interface,geometry: segmented,seg,2.2677983639172306,2.1196167156351904,-6.534163294221706
iquique,PGA,2475,interface,rate: geodetic (mid),geo,2.2677983639172306,2.2893268189536173,0.9493108108253434
iquique,PGA,2475,interface,MFD: tapered,tapered,2.2677983639172306,2.2924863017464774,1.08863019843628
iquique,PGA,2475,interface,full 16-branch tree,tree,2.2677983639172306,2.3115355674673417,1.92861959184778
iquique,PGA,2475,interface,rupture scaling: Allen & Hayes,msr_ah,2.2677983639172306,2.2513440209801563,-0.7255646356782885
iquique,PGA,2475,interface,rupture aspect ratio 1.5 / 2 / 3,asp15,2.2677983639172306,2.2805201905225765,0.5609769725458014
iquique,PGA,2475,interface,rupture aspect ratio 1.5 / 2 / 3,asp20,2.2677983639172306,2.30074739178006,1.4529081768061447
iquique,PGA,2475,interface,rupture aspect ratio 1.5 / 2 / 3,asp30,2.2677983639172306,2.3393967368481907,3.157175438088178
iquique,PGA,2475,interface,GMM (single vs tree),gmm_ag,2.2677983639172306,2.1567461518137816,-4.896917374595223
iquique,PGA,2475,interface,GMM (single vs tree),gmm_pk,2.2677983639172306,2.19055569148823,-3.4060643864111895
iquique,PGA,2475,interface,GMM (single vs tree),gmm_ku,2.2677983639172306,2.442284069841292,7.694057315689551
iquique,PGA,2475,intraslab,class domain cut at 50 km,classmask,2.2677983639172306,2.22953465670775,-1.6872623165397505
iquique,PGA,2475,intraslab,declustering,dc_gk74sym,2.2677983639172306,2.3228513870306235,2.427597796582681
iquique,PGA,2475,intraslab,declustering,dc_gruenthal,2.2677983639172306,2.3295728998203162,2.7239871447998
