site,imt,return_period,family,axis,iml_ref,lo,hi,row_lo,row_hi,range
antofagasta,PGA,475,intraslab,declustering,1.3902837109955062,0.0,1.8867717905189263,dc_gk74sym,dc_gruenthal,1.8867717905189263
antofagasta,PGA,475,intraslab,no declustering (full catalog),1.3902837109955062,-2.757456301870864,0.0,raw,raw,2.757456301870864
antofagasta,PGA,475,intraslab,classification tolerance -5 / +5 km,1.3902837109955062,-4.944578674414258,2.7854781523459993,cls_p5,cls_m5,7.730056826760257
antofagasta,PGA,475,intraslab,default-depth events to interface,1.3902837109955062,0.0,0.666661146803138,cls_fix,cls_fix,0.666661146803138
antofagasta,PGA,475,intraslab,"completeness table, ends of the ensemble",1.3902837109955062,-2.1771563209099454,1.9736904013600842,mc_lo,mc_hi,4.15084672227003
antofagasta,PGA,475,intraslab,slab_deep b: floor 5.7 / 6.0,1.3902837109955062,-0.7860802107034215,1.0182811354336074,sd_fit57,sd_fit60,1.804361346137029
antofagasta,PGA,475,intraslab,intra_slab b: floor 5.5 / 5.8,1.3902837109955062,-0.07595878448077853,0.08539001539955571,is_fit55,is_fit58,0.16134879988033424
antofagasta,PGA,475,intraslab,Mmax pad 0 / 0.4,1.3902837109955062,-2.031318752166089,1.8592642657416336,pad0,pad04,3.8905830179077228
antofagasta,PGA,475,intraslab,"depths by slab-top regime, not thickness fraction",1.3902837109955062,0.0,0.25122767091545484,regime,regime,0.25122767091545484
antofagasta,PGA,475,intraslab,"previous geometry: top + 7.5 km, depth-rule band",1.3902837109955062,0.0,3.034557451136921,band_rule,band_rule,3.034557451136921
antofagasta,PGA,475,intraslab,smoothing neighbours 10 / 50,1.3902837109955062,-1.1332997079798623,0.39689125730359986,nn10,nn50,1.5301909652834622
antofagasta,PGA,475,intraslab,pattern from all complete events / + calibrated kernel,1.3902837109955062,-2.1029975256957267,8.480324664716932e-07,smooth_cv,smooth_all,2.102998373728193
antofagasta,PGA,475,intraslab,kernel gaussian / cut-off 200 km,1.3902837109955062,-0.3399172069154299,0.8990282954464801,gauss,dmax200,1.23894550236191
antofagasta,PGA,475,intraslab,rupture scaling: Allen & Hayes,1.3902837109955062,-1.6802343496185368,0.0,msr_ah,msr_ah,1.6802343496185368
antofagasta,PGA,475,intraslab,rupture aspect ratio 2,1.3902837109955062,0.0,0.33444222889811304,asp20,asp20,0.33444222889811304
antofagasta,PGA,475,intraslab,rupture dip 45 / 90,1.3902837109955062,-0.948661302669318,1.2820139047116097,dip45,dip90,2.2306752073809277
antofagasta,PGA,475,intraslab,sources from M5.5,1.3902837109955062,-2.511617891443052e-06,0.0,mmin55,mmin55,2.511617891443052e-06
antofagasta,PGA,475,intraslab,GMM (single vs tree),1.3902837109955062,-7.89526653878958,13.175815047478846,gmm_mv,gmm_pk,21.071081586268427
antofagasta,PGA,475,crustal,faults vs no faults,1.3902837109955062,0.0,0.048877995936580376,nofaults,nofaults,0.048877995936580376
antofagasta,PGA,475,crustal,buffer margin 0 / 20 km,1.3902837109955062,-0.024497629418440692,0.046537416003156196,margin20,margin0,0.07103504542159689
antofagasta,PGA,475,crustal,cap and fault Mmin 6.5,1.3902837109955062,0.0,0.010461175565756875,cap65,cap65,0.010461175565756875
antofagasta,PGA,475,crustal,declustering,1.3902837109955062,-0.0020140595663131755,0.0,dc_gruenthal,dc_gruenthal,0.0020140595663131755
antofagasta,PGA,475,crustal,no declustering (full catalog),1.3902837109955062,-0.0041433920913269695,0.0,raw,raw,0.0041433920913269695
antofagasta,PGA,475,crustal,classification tolerance -5 / +5 km,1.3902837109955062,-0.00669979338883131,0.0021069702945908375,cls_p5,cls_m5,0.008806763683422147
antofagasta,PGA,475,crustal,default-depth events to interface,1.3902837109955062,-0.004649982708537781,0.0,cls_fix,cls_fix,0.004649982708537781
antofagasta,PGA,475,crustal,background Mmax 7.5,1.3902837109955062,0.0,0.0067815631194179105,mmax75,mmax75,0.0067815631194179105
antofagasta,PGA,475,crustal,GMM (single vs tree),1.3902837109955062,-0.02597139478945909,0.029934875108694747,gmm_cy,gmm_bssa,0.05590626989815384
