X,Y
-71.598491824,-33.910479032
-71.598491824,-33.918479032
-71.598491824,-33.926479032
-71.598491824,-33.934479032
-71.598491824,-33.942479032
-71.598491824,-33.950479032
-71.598491824,-33.958479032
-71.598491824,-33.966479032
-71.598491824,-33.974479032
-71.598491824,-33.982479032
-71.598491824,-33.990479032
-71.598491824,-33.998479032
-71.598491824,-34.006479032
-71.598491824,-34.014479032
-71.598491824,-34.022479032
-71.590491824,-33.870479032
-71.590491824,-33.878479032
-71.590491824,-33.886479032
-71.590491824,-33.894479032
-71.590491824,-33.902479032
-71.590491824,-33.910479032
-71.590491824,-33.918479032
-71.590491824,-33.926479032
-71.590491824,-33.934479032
-71.590491824,-33.942479032
-71.590491824,-33.950479032
-71.590491824,-33.958479032
-71.590491824,-33.966479032
-71.590491824,-33.974479032
-71.590491824,-33.982479032
-71.590491824,-33.990479032
-71.590491824,-33.998479032
-71.590491824,-34.006479032
-71.590491824,-34.014479032
-71.590491824,-34.022479032
-71.590491824,-34.030479032
-71.582491824,-33.870479032
-71.582491824,-33.878479032
-71.582491824,-33.886479032
-71.582491824,-33.894479032
-71.582491824,-33.902479032
-71.582491824,-33.910479032
-71.582491824,-33.918479032
-71.582491824,-33.926479032
-71.582491824,-33.934479032
-71.582491824,-33.942479032
-71.582491824,-33.950479032
-71.582491824,-33.958479032
-71.582491824,-33.966479032
-71.582491824,-33.974479032
-71.582491824,-33.982479032
-71.582491824,-33.990479032
-71.582491824,-33.998479032
-71.582491824,-34.006479032
-71.582491824,-34.014479032
-71.582491824,-34.022479032
-71.582491824,-34.030479032
-71.574491824,-33.870479032
-71.574491824,-33.878479032
-71.574491824,-33.886479032
-71.574491824,-33.894479032
-71.574491824,-33.902479032
-71.574491824,-33.910479032
-71.574491824,-33.918479032
-71.574491824,-33.926479032
-71.574491824,-33.934479032
-71.574491824,-33.942479032
-71.574491824,-33.950479032
-71.574491824,-33.958479032
-71.574491824,-33.966479032
-71.574491824,-33.974479032
-71.574491824,-33.982479032
-71.574491824,-33.990479032
-71.574491824,-33.998479032
-71.574491824,-34.006479032
-71.574491824,-34.014479032
-71.574491824,-34.022479032
-71.566491824,-33.870479032
-71.566491824,-33.878479032
-71.566491824,-33.886479032
-71.566491824,-33.894479032
-71.566491824,-33.902479032
-71.566491824,-33.910479032
-71.566491824,-33.918479032
-71.566491824,-33.926479032
-71.566491824,-33.934479032
-71.566491824,-33.942479032
-71.566491824,-33.950479032
-71.566491824,-33.958479032
-71.566491824,-33.966479032
-71.566491824,-33.974479032
-71.566491824,-33.982479032
-71.566491824,-33.990479032
-71.566491824,-33.998479032
-71.558491824,-33.774479032
-71.558491824,-33.782479032
-71.558491824,-33.790479032
-71.558491824,-33.798479032
-71.558491824,-33.806479032
-71.558491824,-33.814479032
-71.558491824,-33.822479032
-71.558491824,-33.830479032
-71.558491824,-33.838479032
-71.558491824,-33.846479032
-71.558491824,-33.854479032
-71.558491824,-33.862479032
-71.558491824,-33.870479032
-71.558491824,-33.878479032
-71.558491824,-33.886479032
-71.558491824,-33.894479032
-71.558491824,-33.902479032
-71.558491824,-33.910479032
-71.558491824,-33.918479032
-71.558491824,-33.926479032
-71.558491824,-33.934479032
-71.558491824,-33.942479032
-71.558491824,-33.950479032
-71.558491824,-33.958479032
-71.558491824,-33.966479032
-71.558491824,-33.974479032
-71.558491824,-33.982479032
-71.558491824,-33.990479032
-71.550491824,-33.766479032
-71.550491824,-33.774479032
-71.550491824,-33.782479032
-71.550491824,-33.790479032
-71.550491824,-33.798479032
-71.550491824,-33.806479032
-71.550491824,-33.814479032
-71.550491824,-33.822479032
-71.550491824,-33.830479032
-71.550491824,-33.838479032
-71.550491824,-33.846479032
-71.550491824,-33.854479032
-71.550491824,-33.862479032
-71.550491824,-33.870479032
-71.550491824,-33.878479032
-71.550491824,-33.886479032
-71.550491824,-33.894479032
-71.550491824,-33.902479032
-71.550491824,-33.910479032
-71.550491824,-33.918479032
-71.550491824,-33.926479032
-71.550491824,-33.934479032
