lon,lat,vs30
-70.464491824,-33.872479032,380
-70.364491824,-33.072479032,380
-70.364491824,-33.172479032,380
-70.364491824,-33.272479032,380
-70.364491824,-33.372479032,380
-70.364491824,-33.472479032,380
-70.364491824,-33.572479032,380
-70.364491824,-33.672479032,380
-70.364491824,-33.772479032,380
-70.364491824,-33.872479032,380
-70.364491824,-33.972479032,380
-70.364491824,-34.072479032,380
-70.264491824,-33.072479032,380
-70.264491824,-33.172479032,380
-70.264491824,-33.272479032,380
-70.264491824,-33.372479032,380
-70.264491824,-33.472479032,380
-70.264491824,-33.572479032,380
-70.264491824,-33.672479032,380
-70.264491824,-33.772479032,380
-70.264491824,-33.872479032,380
-70.264491824,-33.972479032,380
-70.264491824,-34.072479032,380
-70.164491824,-33.072479032,380
-70.164491824,-33.172479032,380
-70.164491824,-33.272479032,380
-70.164491824,-33.372479032,380
-70.164491824,-33.472479032,380
-70.164491824,-33.572479032,380
-70.164491824,-33.672479032,380
-70.164491824,-33.772479032,380
-70.164491824,-33.872479032,380
-70.164491824,-33.972479032,380
-70.164491824,-34.072479032,380
-70.164491824,-34.172479032,380
-70.064491824,-33.072479032,380
-70.064491824,-33.172479032,380
-70.064491824,-33.272479032,380
-70.064491824,-33.372479032,380
-70.064491824,-33.472479032,380
-70.064491824,-33.572479032,380
-70.064491824,-33.672479032,380
-70.064491824,-33.772479032,380
-70.064491824,-33.872479032,380
-70.064491824,-33.972479032,380
-70.064491824,-34.072479032,380
-70.064491824,-34.172479032,380
-70.064491824,-34.272479032,380
-69.964491824,-33.272479032,380
-69.964491824,-33.372479032,380
-69.964491824,-33.472479032,380
-69.964491824,-33.572479032,380
-69.964491824,-33.672479032,380
-69.964491824,-33.772479032,380
-69.964491824,-33.872479032,380
-69.964491824,-33.972479032,380
-69.964491824,-34.072479032,380
-69.964491824,-34.172479032,380
-69.964491824,-34.272479032,380
-69.864491824,-33.272479032,380
-69.864491824,-33.372479032,380
-69.864491824,-33.472479032,380
-69.864491824,-33.572479032,380
-69.864491824,-33.672479032,380
-69.864491824,-33.772479032,380
-69.864491824,-33.872479032,380
-69.864491824,-33.972479032,380
-69.864491824,-34.072479032,380
-69.864491824,-34.172479032,380
-69.864491824,-34.272479032,380
-69.764491824,-33.272479032,380
-69.764491824,-33.372479032,380
-69.764491824,-33.472479032,380
-69.764491824,-34.172479032,380
-69.764491824,-34.272479032,380
