ogc_fid,id_sys,id_flt,id_seg,name,dips,dip,dip_dir,slip_rates,slip_rate,rup_type,downt_side,len_st,upp_sd,low_sd,az_tr,id_area,usd,lsd,min_mag,max_mag,a_val,b_val,length_km
70,,CL-006ee,CL-006r,Falla Reigolil 006r,"90.",87.000000000000000,E,1.0-5.0,3.000000000000000,dextral,None,69.615528149164476,0.000000000000000,20.000000000000000,12.501158827635891,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,70
71,,CL-006t,CL-006u,Falla Neltume 006u,"90.",87.000000000000000,E,1.0-5.0,3.000000000000000,dextral,None,11.045781300787485,0.000000000000000,20.000000000000000,21.962045782220912,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,11
72,,CL-017,CL-017,Falla Pellaifa,"90.",87.000000000000000,S,0.1-1,0.500000000000000,sinistral-reverse,None,30.332774203955911,0.000000000000000,20.000000000000000,130.339062930673549,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,30
73,,CL-018,CL-018,Falla Calafquen,"90.",87.000000000000000,S,0.1-1,0.500000000000000,sinistral-reverse,None,12.747715597064195,0.000000000000000,20.000000000000000,122.120013005817782,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,13
74,,CL-019,CL-019,Falla Panguipulli,"90.",87.000000000000000,S,0.1-1,0.500000000000000,sinistral-reverse,None,12.614458858074734,0.000000000000000,20.000000000000000,132.178256223557241,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,13
75,,CL-006m,CL-006t,Falla Liquiñe 006t,"90.",87.000000000000000,E,1.0-5.0,3.000000000000000,dextral,None,14.283854164692759,0.000000000000000,20.000000000000000,23.029464941852098,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,14
76,,CL-006b,CL-006q,Falla Caburgua 006q,"90.",87.000000000000000,E,1.0-5.0,3.000000000000000,dextral,None,14.184140725146596,0.000000000000000,20.000000000000000,1.064727060679331,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,14
77,,CL-006b,CL-006p,Falla Caburgua 006p,"90.",87.000000000000000,E,1.0-5.0,3.000000000000000,dextral,None,23.746277643708218,0.000000000000000,20.000000000000000,11.803786241903197,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,24
78,,CL-015,CL-015,Falla Catripulli,"90",87.000000000000000,S,0.1-1,0.500000000000000,sinistral-reverse,None,55.053410942856907,0.000000000000000,20.000000000000000,122.207065892072308,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,55
79,,CL-006b,CL-006o,Falla Caburgua 006o,"90.",87.000000000000000,E,1.0-5.0,3.000000000000000,dextral,None,20.331108711788016,0.000000000000000,20.000000000000000,25.789704529380170,"566",0.000000000000000,35.000000000000000,4.500000000000000,7.750000000000000,4.178202342190000,0.834489436976000,20
