longitude,latitude,mag,kernel_r_km
-68.576,-21.724,5.3,27.050366205734615
-68.61,-28.86,5.2,46.79106329163087
-69.076,-23.25,5.5,34.624589205330615
-69.1,-18.387,5.3,39.39065697453176
-70.591,-36.573,5.6,73.65285412092759
-68.34,-23.6,5.3,40.01564913726649
-69.273,-17.873,5.3,33.76796079966259
-68.93,-20.79,5.4,31.26220374128899
-68.67,-21.24,5.4,25.673128009560088
-68.311,-22.425,5.4,39.84784560444946
-69.96,-31.58,5.8,44.135277101553946
-67.53,-22.11,5.4,36.61788641237287
-66.039,-22.489,5.2,38.16949916803486
-69.55,-32.03,5.4,40.90028481184383
-70.37,-17.53,5.9,39.778229503288294
-69.586,-19.238,5.3,38.92552140471154
-68.07,-21.17,5.7,32.85511162180701
-67.459,-22.625,5.2,38.358907666657394
-69.56,-24.21,5.8,35.89233810316888
-69.621,-28.966,5.6,44.363827747849435
-68.92,-20.3,5.8,34.38792240221507
-69.313,-27.61,5.2,42.09207171924804
-69.456,-18.363,5.4,34.019173743958596
-68.763,-21.87,5.7,34.599913846642714
-67.318,-21.084,5.3,32.97282015382594
-71.089,-35.134,5.2,44.068558362263225
-68.193,-23.887,5.6,35.24627664765499
-68.044,-22.639,5.4,43.27230466988111
-69.796,-21.602,5.3,52.73974333543015
-71.222,-32.865,5.4,59.34388409186248
-69.042,-19.837,5.6,29.686048888900128
-65.11,-30.91,5.2,164.89115175749063
-68.631,-21.012,5.4,26.401874498833386
-68.95,-25.9,5.2,61.861486748341946
-69.278,-22.962,5.4,36.70271582180414
-71.205,-34.044,5.5,65.70640481588883
-69.182,-19.084,5.2,30.862701063830084
-67.556,-28.343,5.2,32.711063223893916
-70.534,-31.004,5.2,64.7384865601007
-68.228,-19.055,5.4,63.94405173663177
-66.19,-22.72,5.3,35.04368614202338
-68.468,-21.42,5.4,27.875617133922802
-67.15,-31.55,5.4,46.09752382630892
-69.537,-20.737,5.2,43.19566862881553
-68.45,-25.18,5.6,60.29887981625807
-71.546,-39.075,5.5,99.0750137955288
-67.28,-21.98,5.8,33.89376071977408
-69.44,-18.353,5.5,34.8987494866076
-66.88,-23.45,7.0,40.152276194512865
-69.399,-24.207,5.3,32.65961083771603
-69.13,-31.62,6.3,31.427244010056253
-68.693,-24.281,5.6,44.94704859525085
-69.903,-23.974,5.2,49.188197709879574
-68.162,-23.254,5.6,37.03771502651022
-68.89,-20.242,5.2,32.247028369659546
-65.862,-31.215,5.3,91.98305198459798
-66.92,-24.213,5.7,27.491756563131094
-69.973,-33.215,5.4,40.963036821156955
-69.006,-17.751,5.2,46.230483965288244
-66.747,-27.861,5.6,22.298271371155757
-65.69,-22.12,6.0,59.14695472144663
-68.894,-21.203,5.2,24.989938585492162
-68.16,-31.77,5.8,45.39031405516547
-68.74,-22.63,5.8,34.16209256237569
-69.048,-19.56,5.6,31.115293750174448
-68.359,-21.806,5.4,28.779435115379265
-68.747,-19.022,5.4,51.293673589698535
-68.391,-20.182,5.2,46.86678485139527
-66.94,-24.76,5.5,60.24117422228777
-69.371,-18.956,5.2,31.18531242841926
-67.0,-24.25,5.4,25.07308714554367
-70.623,-18.073,5.5,47.595154838404625
-66.704,-21.079,5.2,42.1446713091776
-70.8,-39.19,5.9,133.580353296428
-68.166,-21.34,5.6,26.976530922657997
-70.206,-33.306,5.3,33.60970899045442
-67.468,-22.492,5.3,33.636946853771605
-69.66,-17.44,6.2,33.924407034467535
-68.43,-22.034,5.3,34.48265498067339
-70.968,-35.12,5.2,40.801745557591005
-68.849,-28.712,5.5,44.173557220111576
-68.797,-20.657,5.4,35.316722564625906
-67.88,-23.64,5.9,38.144743668491635
-68.411,-29.193,5.5,52.81546019706202
