longitude,latitude,mag,tc_years,mc_window,weight
-67.26,-27.288,5.5,10.001368925393566,5.3,0.1994989215829135
-66.71,-27.07,5.5,10.001368925393566,5.3,0.1994989215829135
-69.231,-28.147,5.3,10.001368925393566,5.3,0.1994989215829135
-70.833,-35.599,5.4,10.001368925393566,5.3,0.1994989215829135
-67.04,-23.76,5.6,10.001368925393566,5.3,0.1994989215829135
-69.67,-24.22,5.6,10.001368925393566,5.3,0.1994989215829135
-68.703,-21.794,5.4,10.001368925393566,5.3,0.1994989215829135
-65.408,-30.858,5.6,10.001368925393566,5.3,0.1994989215829135
-66.94,-24.27,6.2,10.001368925393566,5.3,0.1994989215829135
-69.532,-29.424,5.5,10.001368925393566,5.3,0.1994989215829135
-70.527,-33.607,5.5,10.001368925393566,5.3,0.1994989215829135
-68.567,-20.46,5.6,10.001368925393566,5.3,0.1994989215829135
-69.023,-21.442,5.7,10.001368925393566,5.3,0.1994989215829135
-68.5,-31.54,5.3,10.001368925393566,5.3,0.1994989215829135
-68.132,-23.36,5.5,10.001368925393566,5.3,0.1994989215829135
-71.28,-35.42,5.4,10.001368925393566,5.3,0.1994989215829135
-68.381,-21.353,5.3,10.001368925393566,5.3,0.1994989215829135
-68.96,-22.56,6.4,10.001368925393566,5.3,0.1994989215829135
-68.208,-22.376,5.3,10.001368925393566,5.3,0.1994989215829135
-67.029,-23.012,5.5,10.001368925393566,5.3,0.1994989215829135
-69.175,-19.583,5.5,10.001368925393566,5.3,0.1994989215829135
-67.96,-21.144,5.5,10.001368925393566,5.3,0.1994989215829135
-70.022,-19.282,5.5,10.001368925393566,5.3,0.1994989215829135
-70.891,-29.416,6.3,10.001368925393566,5.3,0.1994989215829135
-69.105,-31.516,5.6,10.001368925393566,5.3,0.1994989215829135
-70.038,-19.934,5.3,10.001368925393566,5.3,0.1994989215829135
-68.01,-23.88,5.6,10.001368925393566,5.3,0.1994989215829135
-71.249,-33.842,6.3,10.001368925393566,5.3,0.1994989215829135
