id,time_iso,longitude,latitude,depth,mag,mag_type,lon_error,lat_error,depth_error,mag_error,strike1,dip1,rake1,strike2,dip2,rake2,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class_raw,sub_depth,class
5121,1977/01/11,-71.435,-31.679,35,5.8,mw,,,,,5,34,111,160,59,77,7.116e+16,1.044e+16,-8.16e+16,2.177e+16,-3.401e+16,1.407e+16,USGS,,slab_interface,40.0445175171,slab_interface
5122,1977/01/11,-72.1,-31.92,42.2,5.2,mw,0.15,0.17,10.7,,5,34,111,160,59,77,7.116e+16,1.044e+16,-8.16e+16,2.177e+16,-3.401e+16,1.407e+16,GCMT,,intra_slab,17.8159503937,intra_slab
5126,1977/01/17,-68.61,-24.89,134.4,6.9,mw,0.02,0.02,1.2,,183,44,73,26,49,105,1.978e+19,4.43e+18,-2.422e+19,3.27e+18,1.33e+18,-8.21e+18,GCMT,,slab_deep,86.7549285889,slab_deep
5132,1977/01/25,-68.377,-33.597,15.8,5.3,mw,,,3.7,0.2,180,45,147,295,67,50,,,,,,,ISC-GEM,,backarc,,unclassified
5173,1977/04/15,-69.27,-23.01,129.7,5.4,mw,0.11,0.09,5,,121,51,-159,18,74,-41,-6.34e+16,-6.6e+16,1.294e+17,-2.74e+16,-6.93e+16,-7.38e+16,GCMT,,slab_deep,70.365562439,slab_deep
5197,1977/06/05,-69.71,-23.51,32,5.9,mw,0.08,0.07,0,,94,20,-162,347,84,-71,-1.055e+17,-2.5e+15,1.08e+17,2.196e+17,-7.114e+17,-3.312e+17,GCMT,,forearc,56.4676094055,forearc
5205,1977/06/08,-67.12,-22.21,185.5,5.6,mw,0.07,0.06,2.1,,325,4,40,195,87,93,3.91e+16,-2.3e+15,-3.67e+16,-9.81e+16,-3.499e+17,1.29e+16,GCMT,,slab_deep,157.358322144,slab_deep
5212,1977/06/18,-68.48,-20.95,135.9,5.8,mw,0.04,0.04,1.8,,101,35,-120,315,60,-71,-4.806e+17,4.42e+17,3.86e+16,1.688e+17,-2.571e+17,-3.329e+17,GCMT,,slab_deep,98.8410186768,slab_deep
5227,1977/06/30,-69.56,-19.64,122.2,5.7,mw,0.1,0.06,4.2,,149,22,-108,348,69,-83,-2.343e+17,-6.48e+16,2.991e+17,6.41e+16,-3.132e+17,-1.395e+17,GCMT,,slab_deep,74.9570617676,slab_deep
5229,1977/07/02,-70.79,-25.87,15,5.6,mw,0,0,0,,342,11,79,174,79,92,1.245e+17,-1.9e+15,-1.226e+17,3.31e+16,-3.109e+17,2.68e+16,GCMT,,slab_interface,27.3521137238,slab_interface
