lon,lat,rate_total,depth_mean,min_mag,max_mag,mfd_type,magnitude_scaling_relationship,rupture_aspect_ratio,upper_seismogenic_depth,lower_seismogenic_depth
-69.96623,-17.79741,0.002316675895448445,21.318,4.55,5.949999999999995,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-69.87178,-17.79741,0.002316675895448445,21.318,4.55,5.949999999999995,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-69.77733,-17.79741,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-69.68288,-17.79741,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-69.58842,-17.79741,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-69.49397,-17.79741,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-69.39952,-17.79741,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-71.38054,-17.88734,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-71.28604,-17.88734,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-71.19154,-17.88734,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-71.09704,-17.88734,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-71.00254,-17.88734,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.90804,-17.88734,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.81354,-17.88734,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.71904,-17.88734,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.62454,-17.88734,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.53004,-17.88734,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.43554,-17.88734,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.34104,-17.88734,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.24654,-17.88734,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.15204,-17.88734,0.002316675895448445,21.318,4.55,5.949999999999995,TruncatedGRMFD,WC1994,1.0,0.0,38.0
