site,domain,level,poe
santiago_centro,total,0.005,0.9784356004687027
santiago_centro,total,0.006234021895737255,0.960173148890677
santiago_centro,total,0.007772605799306304,0.9309204478608442
santiago_centro,total,0.009690918947961973,0.8876279126541683
santiago_centro,total,0.012082680182281997,0.8284847564899354
santiago_centro,total,0.015064738563107317,0.7538460898456161
santiago_centro,total,0.01878278201119368,0.6666314403432426
santiago_centro,total,0.023418454864128246,0.5719257274359458
santiago_centro,total,0.02919823207746202,0.4758900404093786
santiago_centro,total,0.036404483617543226,0.38441787001602384
santiago_centro,total,0.04538926959495454,0.3020543494929558
santiago_centro,total,0.05659154009729356,0.23147181927978516
santiago_centro,total,0.07055858001600415,0.1735142663801554
santiago_centro,total,0.08797274655037983,0.1276151549093889
santiago_centro,total,0.10968480564464235,0.09234228531295664
santiago_centro,total,0.13675549600367723,0.06589277585250676
santiago_centro,total,0.17050735128986647,0.04644330759355796
santiago_centro,total,0.21258931226503822,0.03235843754464585
santiago_centro,total,0.2650572854919946,0.022282728465695973
santiago_centro,total,0.3304745842763549,0.015144517811236439
santiago_centro,total,0.412037158872693,0.010132889911703382
santiago_centro,total,0.513729734053947,0.006649877523925533
santiago_centro,total,0.6405204821167169,0.004261336168383788
santiago_centro,total,0.7986037420367598,0.002652708882210751
santiago_centro,total,0.9957026427749722,0.0015951794655832603
santiago_centro,total,1.2414464153405262,0.0009208239639712705
santiago_centro,total,1.547840827123473,0.0005065207409932099
santiago_centro,total,1.92985472148076,0.00026302262598288734
santiago_centro,total,2.4061513178605933,0.00012719970148427812
santiago_centro,total,3.0,5.611811158236142e-05
santiago_penalolen,total,0.005,0.9771169864549311
santiago_penalolen,total,0.006234021895737255,0.9577342550290747
santiago_penalolen,total,0.007772605799306304,0.9267769087325775
santiago_penalolen,total,0.009690918947961973,0.8811974319063125
santiago_penalolen,total,0.012082680182281997,0.8193857751289385
santiago_penalolen,total,0.015064738563107317,0.7420952035792167
santiago_penalolen,total,0.01878278201119368,0.6527269603678961
santiago_penalolen,total,0.023418454864128246,0.556758378394972
santiago_penalolen,total,0.02919823207746202,0.460515364458086
santiago_penalolen,total,0.036404483617543226,0.3697995952293744
santiago_penalolen,total,0.04538926959495454,0.28888087048283734
santiago_penalolen,total,0.05659154009729356,0.22010111875722657
santiago_penalolen,total,0.07055858001600415,0.16401703020101394
santiago_penalolen,total,0.08797274655037983,0.1198725368625716
santiago_penalolen,total,0.10968480564464235,0.0861396435487899
