lon,lat
-6.972956969050051157e+01,-2.599713780776090744e+01
-6.974800276751707884e+01,-2.608104133793313650e+01
-6.976635194596244105e+01,-2.616498057531834220e+01
-6.978460408829833739e+01,-2.624896000954078445e+01
-6.980274845986826904e+01,-2.633298328141329137e+01
-6.982077420217378005e+01,-2.641705406551184510e+01
-6.983866923782905189e+01,-2.650117645220909424e+01
-6.985642470402542870e+01,-2.658535342385124878e+01
-6.987403161895991843e+01,-2.666958799925373569e+01
-6.989148492580372363e+01,-2.675388186849051664e+01
-6.990878497669166336e+01,-2.683823486089963595e+01
-6.992593934474129469e+01,-2.692264435773803299e+01
-6.994296298843585191e+01,-2.700710522710696182e+01
-6.995988289840384766e+01,-2.709160824721964644e+01
-6.997673663885220208e+01,-2.717614062902274341e+01
-6.999357337017582381e+01,-2.726068566683473549e+01
-7.001045388226368971e+01,-2.734522273106514945e+01
-7.002744699652551219e+01,-2.742972852464703948e+01
-7.004462818591046869e+01,-2.751417752439813569e+01
-7.006207383148452550e+01,-2.759854396595613579e+01
-7.007985764578957344e+01,-2.768280305479497727e+01
-7.009804724901810857e+01,-2.776693210042018833e+01
-7.011669824191521627e+01,-2.785091254723627330e+01
-7.013585256528693890e+01,-2.793473049322406609e+01
-7.015553749531922278e+01,-2.801837703220751408e+01
-7.017576307484934262e+01,-2.810184909857206392e+01
-7.019652375557603818e+01,-2.818514887768486687e+01
-7.021779974447895256e+01,-2.826828334883463612e+01
-7.023955648616407643e+01,-2.835126442776462241e+01
-7.026174829174730974e+01,-2.843410770815464161e+01
-7.028431756433802491e+01,-2.851683272058472696e+01
-7.030719749313551858e+01,-2.859946200975843311e+01
-7.033031129413582505e+01,-2.868202133643872997e+01
-7.035357228181364064e+01,-2.876453967378570908e+01
-7.037688545094343340e+01,-2.884704866376615939e+01
-7.040014880061423241e+01,-2.892958215558414281e+01
-7.042325344317714553e+01,-2.901217618812899346e+01
-7.044608853342818122e+01,-2.909486735361656784e+01
-7.046854619504335915e+01,-2.917769116281309394e+01
-7.049052606892617234e+01,-2.926068057360092922e+01
-7.051193821548211815e+01,-2.934386501714783790e+01
-7.053271158931676155e+01,-2.942726761325214113e+01
-7.055279448677255516e+01,-2.951090505147313792e+01
-7.057215639936705998e+01,-2.959478699248755618e+01
-7.059078960289002680e+01,-2.967891554442405777e+01
-7.060870370542072294e+01,-2.976328709372477732e+01
-7.062592287948768899e+01,-2.984789321376765159e+01
-7.064248012263277587e+01,-2.993272255761540990e+01
-7.065840921075503900e+01,-3.001776351266921949e+01
-7.067374121257671504e+01,-3.010300532010163721e+01
-7.068849487669159259e+01,-3.018844060232201443e+01
-7.070267642020736787e+01,-3.027406633380686785e+01
-7.071627395151817552e+01,-3.035988488643248573e+01
-7.072925785303490898e+01,-3.044590346551044036e+01
-7.074157880814841803e+01,-3.053213430809604390e+01
-7.075317028243364348e+01,-3.061859307367827299e+01
-7.076395119292489255e+01,-3.070529692372290143e+01
-7.077382947652776579e+01,-3.079226210253319351e+01
-7.078270709816180783e+01,-3.087950099073622567e+01
-7.079048772733976591e+01,-3.096701851999505806e+01
-7.079708310822290684e+01,-3.105480967932896519e+01
-7.080242157428902772e+01,-3.114285748643920115e+01
-7.080645698371793628e+01,-3.123113245905180690e+01
-7.080917480016840670e+01,-3.131959491031134135e+01
-7.081059892926920440e+01,-3.140819873194684320e+01
-7.081079452101234040e+01,-3.149689754259409824e+01
-7.080987102792832388e+01,-3.158565059467809277e+01
-7.080798053178746443e+01,-3.167442853198797081e+01
-7.080531151265054746e+01,-3.176321744445607465e+01
-7.080207932360947609e+01,-3.185201979303926123e+01
-7.079851382361654544e+01,-3.194085199115806617e+01
-7.079484264774720259e+01,-3.202973995260553153e+01
-7.079127496720100510e+01,-3.211871283104844821e+01
-7.078799092835234319e+01,-3.220779548892772937e+01
-7.078513221914286646e+01,-3.229700320331776453e+01
-7.078280146543598050e+01,-3.238633748589809613e+01
-7.078107236031706861e+01,-3.247578289286998654e+01
-7.077999936197389275e+01,-3.256530767776892077e+01
-7.077963655505911333e+01,-3.265486409847221694e+01
-7.078005208599539344e+01,-3.274439097249594255e+01
-7.078133993861345630e+01,-3.283381659469961988e+01
-7.078363083190924954e+01,-3.292306049791447009e+01
-7.078708675799610717e+01,-3.301203840094483866e+01
-7.079189443110500690e+01,-3.310066568644032969e+01
-7.079825256843186310e+01,-3.318886137686777715e+01
-7.080635225298395596e+01,-3.327655328022850512e+01
-7.081635933046467812e+01,-3.336368209042487365e+01
-7.082839803629160258e+01,-3.345020502098316229e+01
-7.084253947918764993e+01,-3.353609809970272693e+01
-7.085879601155419039e+01,-3.362135690892140616e+01
-7.087712214969344870e+01,-3.370599559005049173e+01
-7.089742443627356749e+01,-3.379004366226109823e+01
-7.091956973223167893e+01,-3.387354229593019284e+01
-7.094340134443139334e+01,-3.395654013190763010e+01
-7.096875266644649116e+01,-3.403908890068554172e+01
-7.099545925167376481e+01,-3.412123954910760659e+01
-7.102336746936838097e+01,-3.420303961445576846e+01
-7.105234003505015039e+01,-3.428453155359993332e+01
-7.108225870434588956e+01,-3.436575193988451815e+01
-7.111302468136227617e+01,-3.444673135961375010e+01
-7.114455528341568424e+01,-3.452749541043719006e+01
-7.117678091691759334e+01,-3.460806562692535948e+01
-7.120964125025757596e+01,-3.468846064342077540e+01
-7.124308074279505831e+01,-3.476869753718178657e+01
-7.127704556207557118e+01,-3.484879276684723948e+01
-7.131148103386782111e+01,-3.492876294430053719e+01
-7.134633024888231034e+01,-3.500862525751846732e+01
-7.138153448883494434e+01,-3.508839736043991309e+01
-7.141703157186127271e+01,-3.516809783816262325e+01
-7.145275719080217414e+01,-3.524774581594250833e+01
-7.148864478398506606e+01,-3.532736096527944625e+01
-7.152462071795716270e+01,-3.540696490621424175e+01
-7.156060599273590128e+01,-3.548658071080992471e+01
-7.159651186777736598e+01,-3.556623414348761258e+01
-7.163224123751395211e+01,-3.564595329613010932e+01
-7.166769053097675624e+01,-3.572576805540217038e+01
-7.170275138678704252e+01,-3.580570958081007404e+01
-7.173731489607553158e+01,-3.588580911594813472e+01
-7.177127871090986844e+01,-3.596609589572387478e+01
-7.180454417068881412e+01,-3.604659797403882493e+01
-7.183702248036057370e+01,-3.612734041580473843e+01
-7.186863414162644403e+01,-3.620834547746465404e+01
-7.189930554557810183e+01,-3.628963360370318014e+01
-7.192897216901724278e+01,-3.637122251193087408e+01
-7.195757984711809740e+01,-3.645312688927663913e+01
-7.198508448388651004e+01,-3.653535849849509276e+01
-7.201145855800278639e+01,-3.661792433790593293e+01
-7.203669411621999075e+01,-3.670082584282894089e+01
-7.206080325048583290e+01,-3.678405874142235632e+01
-7.208382100390021208e+01,-3.686761226958372362e+01
-7.210580392830009089e+01,-3.695146959524213770e+01
-7.212682635285884203e+01,-3.703560889413086699e+01
-7.214697736748652801e+01,-3.712000427209566311e+01
-7.216635616107980411e+01,-3.720462705577925533e+01
-7.218506957749416131e+01,-3.728944655625075910e+01
-7.220322693431819516e+01,-3.737443152380443223e+01
-7.222093916848051265e+01,-3.745955041934190177e+01
-7.223831713009138866e+01,-3.754477189082491861e+01
-7.225547018565616497e+01,-3.763006516649939215e+01
-7.227250629903009838e+01,-3.771540004802852053e+01
-7.228952957617458708e+01,-3.780074756891812626e+01
-7.230664294112051493e+01,-3.788607925607542626e+01
-7.232394656299379676e+01,-3.797136756257818746e+01
-7.234153673738040879e+01,-3.805658615714146009e+01
-7.235950745545368079e+01,-3.814170949239644415e+01
-7.237794776327550039e+01,-3.822671350526081824e+01
-7.239693926964774562e+01,-3.831157626587590670e+01
-7.241655303090611540e+01,-3.839627880001962268e+01
-7.243684323457439689e+01,-3.848080676556953961e+01
-7.245784156118530461e+01,-3.856515191904978224e+01
-7.247954784097265701e+01,-3.864931461068338336e+01
-7.250192358981709617e+01,-3.873330546755038739e+01
-7.252488711823147582e+01,-3.881714665224424010e+01
-7.254830866007431212e+01,-3.890087314970657673e+01
-7.257201435491261066e+01,-3.898453161943328382e+01
-7.259578856917532619e+01,-3.906817976280834870e+01
-7.261938331503820621e+01,-3.915188375418769340e+01
-7.264253192741860232e+01,-3.923571452615600919e+01
-7.266496004627016703e+01,-3.931974484304856077e+01
-7.268639938771146092e+01,-3.940404559869399748e+01
-7.270660227365874562e+01,-3.948868191849628317e+01
-7.272535164875132807e+01,-3.957371055064175636e+01
-7.274247205430067709e+01,-3.965917698154489557e+01
-7.275784026002482108e+01,-3.974511267328203701e+01
-7.277139187722187330e+01,-3.983153341697342142e+01
-7.278312503609909356e+01,-3.991843845532835644e+01
-7.279310661347193445e+01,-4.000580894904692997e+01
-7.280146946052872181e+01,-4.009360884084586729e+01
-7.280840770043759846e+01,-4.018178620940591372e+01
-7.281416738451373760e+01,-4.027027578467738067e+01
-7.281903187703180436e+01,-4.035900289213635972e+01
-7.282330547243624608e+01,-4.044788776426921828e+01
-7.282729376104767027e+01,-4.053685065743823657e+01
-7.283128501947147981e+01,-4.062581670561483094e+01
-7.283553612511703079e+01,-4.071471949541687252e+01
-7.284025704892023612e+01,-4.080350503271597518e+01
-7.284560867355074265e+01,-4.089213222517809498e+01
-7.285169926683551012e+01,-4.098057371913440505e+01
-7.285859057835884300e+01,-4.106881425434334432e+01
-7.286630741787655552e+01,-4.115684815666068630e+01
-7.287484903943074244e+01,-4.124467639055102097e+01
-7.288419914709200498e+01,-4.133230391956842453e+01
-7.289433451971973454e+01,-4.141973750330644322e+01
-7.290523073296054690e+01,-4.150698418711445470e+01
-7.291686360740776252e+01,-4.159405089230706665e+01
-7.292920659450409460e+01,-4.168094506475728167e+01
-7.294222526434771225e+01,-4.176767599130559461e+01
-7.295587402642021857e+01,-4.185425562031258551e+01
-7.297009043185859412e+01,-4.194069996699208502e+01
-7.298479329003198757e+01,-4.202702956100115017e+01
-7.299988248567939308e+01,-4.211326947791768305e+01
-7.301524120295793807e+01,-4.219944877524411453e+01
-7.303074144900448061e+01,-4.228559912916230701e+01
-7.304624722956614846e+01,-4.237175401966246824e+01
-7.306162314052393469e+01,-4.245794663508380040e+01
-7.307674284944205567e+01,-4.254420664391112439e+01
-7.309149291878857468e+01,-4.263055995720655744e+01
-7.310577962049862322e+01,-4.271702682609934243e+01
-7.311953673784006469e+01,-4.280361702691926240e+01
-7.313273049687428795e+01,-4.289032863889411118e+01
-7.314536876194148363e+01,-4.297714241940938251e+01
-7.315751134205612516e+01,-4.306401430246772577e+01
-7.316928377181707788e+01,-4.315086674747254847e+01
-7.318089469495762955e+01,-4.323757750840493230e+01
-7.319265424514090057e+01,-4.332396761576141841e+01
-7.320499213368746894e+01,-4.340979030957026197e+01
-7.321846869044486539e+01,-4.349472465510252306e+01
-7.323377021886973637e+01,-4.357837862542197627e+01
-7.325168793271764400e+01,-4.366030441794266892e+01
-7.327307110382952260e+01,-4.374002979915271538e+01
-7.329876035725662575e+01,-4.381710331868445252e+01
-7.332949517943826834e+01,-4.389115529769267710e+01
-7.336582183708073046e+01,-4.396195949797402847e+01
-7.340801239313150006e+01,-4.402948478713896918e+01
-7.345600897215808800e+01,-4.409392755618012671e+01
-7.350941288961433884e+01,-4.415571354307363805e+01
-7.356752484823731209e+01,-4.421545993816218356e+01
-7.362942956077699819e+01,-4.427390487454510293e+01
-7.369411855590367111e+01,-4.433180970591678971e+01
-7.376062369952357756e+01,-4.438985340345611519e+01
-7.382814151618809717e+01,-4.444853541763595217e+01
