lon,lat,rate_MgeMcmin_per_year
-67.54,-17.526,0.00605488360803233
-71.64,-17.626,0.02127825711750955
-71.54,-17.626,0.02335889735362757
-71.44,-17.626,0.025407649058001837
-71.34,-17.626,0.02724013727084652
-71.24,-17.626,0.028596112576853083
-71.14,-17.626,0.029306622086238854
-71.04,-17.626,0.02931737409693792
-70.94,-17.626,0.028810191609349556
-70.84,-17.626,0.028028126555456057
-70.74,-17.626,0.027193286969442024
-70.64,-17.626,0.026771962088825
-70.54,-17.626,0.026140099184191815
-70.44,-17.626,0.02557130687120074
-70.34,-17.626,0.024965770168376346
-70.24,-17.626,0.02439914594911045
-70.14,-17.626,0.023491389522663986
-70.04,-17.626,0.022343987138379862
-69.94,-17.626,0.02111021921417587
-69.84,-17.626,0.01985049148517068
-69.74,-17.626,0.018575740746297885
-69.64,-17.626,0.01729012002604544
-69.54,-17.626,0.016013064111589346
-69.44,-17.626,0.014776806308356904
-69.34,-17.626,0.0136068679532838
-69.24,-17.626,0.012518248273764182
-69.14,-17.626,0.011509736066292667
-69.04,-17.626,0.010591314912975528
-68.94,-17.626,0.009876577698939482
-68.84,-17.626,0.009156220028157414
-68.74,-17.626,0.008537238214815281
-68.64,-17.626,0.008099028420360841
-68.54,-17.626,0.0076691988717409445
-68.44,-17.626,0.007315873947027979
-68.34,-17.626,0.007034252609515445
-68.24,-17.626,0.00681205505348196
-68.14,-17.626,0.00664062018345475
-68.04,-17.626,0.006512224720056241
-67.94,-17.626,0.00641997086064786
-67.84,-17.626,0.006357644683154438
-67.74,-17.626,0.00630611796266915
-67.64,-17.626,0.00626980871999828
-67.54,-17.626,0.006265661212049552
-71.84,-17.726,0.0164091990820752
-71.74,-17.726,0.018282624971192284
-71.64,-17.726,0.02035394172695741
-71.54,-17.726,0.02223648883994946
-71.44,-17.726,0.0239821823622557
-71.34,-17.726,0.02539544056009993
-71.24,-17.726,0.026291891270815323
-71.14,-17.726,0.026567136838726867
-71.04,-17.726,0.026349112535957484
-70.94,-17.726,0.02584375461384191
-70.84,-17.726,0.02525228006473969
-70.74,-17.726,0.02472648826344209
-70.64,-17.726,0.024667975268783043
-70.54,-17.726,0.02439151984081414
-70.44,-17.726,0.024141611440321675
-70.34,-17.726,0.023980008327842264
-70.24,-17.726,0.023504669124492783
-70.14,-17.726,0.02272586083343438
-70.04,-17.726,0.021736788350223205
-69.94,-17.726,0.020641837741667838
-69.84,-17.726,0.019507043137860235
-69.74,-17.726,0.018367072044808856
-69.64,-17.726,0.01721983847805899
-69.54,-17.726,0.016074649963663222
-69.44,-17.726,0.014954317813658136
-69.34,-17.726,0.013874943375979288
-69.24,-17.726,0.012843074792693391
-69.14,-17.726,0.011878953926135869
-69.04,-17.726,0.011068217588099227
-68.94,-17.726,0.010243070761352679
-68.84,-17.726,0.009508675319826838
-68.74,-17.726,0.008957357097933886
-68.64,-17.726,0.008417876345633823
-68.54,-17.726,0.00796786251297179
-68.44,-17.726,0.007595134255555222
-68.34,-17.726,0.007297688331434005
-68.24,-17.726,0.007063298295442197
-68.14,-17.726,0.00687679691764524
-68.04,-17.726,0.006738801065038048
-67.94,-17.726,0.006637910757107521
-67.84,-17.726,0.006568516149414994
-67.74,-17.726,0.006511405505542876
-67.64,-17.726,0.0064703636554330375
-67.54,-17.726,0.006463819296647086
-67.44,-17.726,0.006464710977956235
