longitude,latitude,mag,kernel_r_km
-72.35,-17.32,5.2,127.33652501539035
-69.85,-23.05,5.2,75.28506679968999
-73.247,-39.892,5.7,111.53535343130618
-72.743,-41.265,5.6,102.95629347758609
-70.885,-18.426,5.4,66.99925319932419
-69.7,-19.013,5.5,63.03602067687168
-68.939,-22.728,5.2,99.95487523204524
-72.81,-36.33,5.5,71.75320949617598
-69.99,-25.191,5.2,77.22103752771737
-70.715,-24.359,6.2,106.47746910323434
-69.988,-24.077,5.2,75.05094641950006
-70.74,-23.0,6.1,105.16122173348927
-70.12,-22.39,5.6,93.07005841751239
-70.029,-18.237,5.4,75.63263567577748
-69.553,-24.562,5.0,99.78107806194171
-71.557,-29.274,5.8,75.02604238444567
-72.92,-41.99,5.2,101.34641674940107
-69.616,-19.673,5.4,55.318139511172454
-69.59,-17.97,5.2,69.92373098068283
-71.695,-31.305,4.7,63.609171211110294
-71.38,-28.831,4.8,97.46522221427323
-69.6,-20.23,5.6,67.5030735513128
-73.364,-37.174,5.0,71.89833023872384
-73.311,-38.652,5.3,65.57390157257396
-70.144,-17.323,5.3,49.88537752282129
-71.054,-17.72,5.4,58.02686681480607
-71.818,-17.498,6.7,77.72295118050785
-71.177,-29.662,4.7,73.90298215571549
-69.528,-21.135,5.0,49.757839781346235
-69.244,-19.893,4.9,63.488297578824884
-69.243,-19.541,4.9,69.2656777807388
-72.061,-35.531,5.0,61.13849123502528
-70.794,-17.289,5.2,51.44496129444374
-71.659,-33.777,5.0,89.88434479523669
-70.64,-25.575,4.9,67.20018831013252
-72.411,-17.019,5.2,143.7589552587303
-72.72,-38.307,4.7,70.58326036823968
-70.777,-27.741,4.8,84.49846599402085
-71.431,-30.812,5.0,55.74104972274164
-71.085,-17.276,5.0,50.0990065528228
-68.529,-34.778,5.0,166.8021147057605
-69.846,-19.131,4.8,51.40201993644836
-71.916,-30.534,4.7,54.186973418384596
-69.625,-21.219,5.0,53.54578017621133
-70.285,-19.301,4.7,55.646142779691665
-70.183,-28.204,5.0,104.97712269027619
-66.252,-22.161,4.7,149.48336821194889
-70.56,-17.28,5.7,52.41680557531465
-71.718,-30.723,5.4,41.73760371389506
-70.227,-17.941,5.2,61.822293451221206
-69.874,-18.596,5.4,67.6687171165156
-70.421,-20.569,5.1,93.50062101822488
-66.655,-24.035,4.7,145.3824513625597
-73.155,-38.854,6.1,79.99637582858553
-71.025,-18.25,5.3,59.013067193923774
-70.472,-18.41,4.8,63.17577026307677
-69.842,-18.271,4.7,73.71605532432683
-70.667,-28.331,4.8,89.0958079432794
-73.24,-38.06,5.3,53.10354886037908
-69.152,-25.035,5.2,98.28925825226702
-69.749,-27.047,5.0,99.59469369854764
-72.367,-35.889,4.7,52.79195402967221
-74.313,-42.653,5.2,157.31516064284787
-70.524,-20.257,4.8,96.44428409151094
-66.631,-24.215,4.7,163.89524041519368
-71.398,-30.553,4.8,50.80708362199261
-70.757,-25.217,5.4,76.2574111976666
-71.414,-17.673,5.3,61.50539663730306
-71.83,-30.819,4.7,51.408580756394585
-73.003,-35.499,4.8,79.53418835201757
-69.933,-22.606,4.8,88.73361049075999
-70.44,-17.44,4.7,53.73991974051308
-73.87,-42.303,5.2,122.24458365876598
-69.99,-19.322,5.3,49.28621849837092
-71.02,-17.195,4.7,53.30280098741062
-71.199,-27.291,5.0,124.09909306244765
-71.137,-18.383,4.8,61.61091684358952
-68.982,-23.546,4.8,98.17008783632953
-71.251,-17.782,4.9,60.17532474953297
-69.24,-19.52,4.7,67.03454815476763
-72.179,-36.466,4.8,78.07717489868136
-69.974,-25.441,4.7,68.47786335392259
-66.406,-23.195,5.1,131.75061466785237
-70.48,-19.85,5.5,66.20196118467925
-71.996,-31.606,5.0,68.27062870132653
-71.897,-30.834,4.8,55.79471440334909
-71.451,-32.404,5.6,42.557446374908345
-66.4,-24.097,4.8,163.03713057443258
-74.088,-41.96,4.7,130.96312253316822
-70.623,-17.185,5.3,54.259538244609644
-69.793,-17.217,4.8,58.87645161246628
-70.126,-17.008,4.8,62.40063491811032
-70.311,-25.966,5.1,71.02359786549533
-70.261,-27.876,4.7,91.82780853162517
-70.241,-22.916,5.0,75.27959548617714
-69.62,-22.419,4.7,84.3449292288063
-70.92,-23.06,5.9,113.04673939377824
-70.213,-17.563,5.5,52.87633830781917
-69.75,-23.256,5.0,84.74795737064711
-74.069,-43.028,4.9,165.8960950231984
-69.89,-25.892,4.9,62.97806572816088
-72.361,-35.989,4.9,55.34057610480953
-73.11,-42.804,4.8,101.70423594290217
-70.228,-22.608,5.1,85.89160319758157
-69.56,-20.41,5.75,82.15917981670607
-65.825,-22.729,4.7,174.63493926151426
-70.408,-19.515,5.4,49.89083285344243
-69.27,-19.568,5.4,68.9946961729032
-65.927,-28.334,4.7,303.4785661834213
-73.006,-38.249,4.8,60.058192623602025
-74.967,-39.634,5.9,191.5404809657814
-69.418,-21.53,4.9,60.49627276723979
-72.136,-36.72,5.3,79.26960965533237
-71.745,-35.003,5.2,72.29594359290492
-71.223,-35.064,4.9,77.79410756173021
-71.843,-33.481,5.4,78.57079818464497
-72.656,-37.162,5.3,79.7496592346937
